Facility ID,Facility Title,Location,Image URL,Link,Sport Name,Year,Month,Day,Time Slot,Price
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,10:30am - 11:30am,$190.20
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,11:15am - 12:15pm,$317.00
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,1:45pm - 2:45pm,$190.20
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,2:30pm - 3:30pm,$190.20
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,2:45pm - 3:45pm,$190.20
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,3:45pm - 4:45pm,$197.40
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,4:30pm - 5:30pm,$197.40
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,4:45pm - 5:45pm,$329.00
43616E6C616E2014,Canlan Sports - York,"989 Murray Ross Pkwy, North York, ON M3J 3M4",N/A,https://www.catchcorner.com/facility-page/271/home,N/A,2024,Jul,12,5:30pm - 6:30pm,$329.00
5072696D65204115,Prime Athletic Centre,"1192 Martin Grove Rd, Etobicoke, ON M9W 5M9",https://catchcornerapistorage.blob.core.windows.net/cc-images/arenas/454/gallery/c3daef83-79c5-4797-9b7f-09c3c8cc68cb.jpg,https://www.catchcorner.com/facility-page/454/home?sport=Soccer,Soccer Fields,2024,Jul,10,2:30pm - 3:30pm,$50.00
5072696D65204115,Prime Athletic Centre,"1192 Martin Grove Rd, Etobicoke, ON M9W 5M9",https://catchcornerapistorage.blob.core.windows.net/cc-images/arenas/454/gallery/c3daef83-79c5-4797-9b7f-09c3c8cc68cb.jpg,https://www.catchcorner.com/facility-page/454/home?sport=Soccer,Soccer Fields,2024,Jul,10,2:30pm - 3:30pm,$55.00
5072696D65204115,Prime Athletic Centre,"1192 Martin Grove Rd, Etobicoke, ON M9W 5M9",https://catchcornerapistorage.blob.core.windows.net/cc-images/arenas/454/gallery/c3daef83-79c5-4797-9b7f-09c3c8cc68cb.jpg,https://www.catchcorner.com/facility-page/454/home?sport=Soccer,Soccer Fields,2024,Jul,10,2:30pm - 4:00pm,$50.00
5072696D65204115,Prime Athletic Centre,"1192 Martin Grove Rd, Etobicoke, ON M9W 5M9",https://catchcornerapistorage.blob.core.windows.net/cc-images/arenas/454/gallery/c3daef83-79c5-4797-9b7f-09c3c8cc68cb.jpg,https://www.catchcorner.com/facility-page/454/home?sport=Soccer,Soccer Fields,2024,Jul,10,2:30pm - 4:00pm,$53.33
